"ID","Entry Title"
"4LX6","X-ray crystal structure of the M6C"" riboswitch aptamer bound to 2-aminopyrimido[4,5-d]pyrimidin-4(3H)-one (PPAO)"
"4M4O","Crystal structure of the aptamer minE-lysozyme complex"
"4M6D","Crystal structure of the aptamer minF-lysozyme complex."
"4OQU","Structure of the SAM-I/IV riboswitch (env87(deltaU92))"
"4PDB","CRYSTAL STRUCTURE OF BACILLUS ANTHRACIS RIBOSOMAL PROTEIN S8 IN COMPLEX WITH AN RNA APTAMER"
"4Q9Q","Crystal structure of an RNA aptamer bound to bromo-ligand analog in complex with Fab"
"4Q9R","Crystal structure of an RNA aptamer bound to trifluoroethyl-ligand analog in complex with Fab"
"4R8I","High Resolution Structure of a Mirror-Image RNA Oligonucleotide Aptamer in Complex with the Chemokine CCL2"
"4RZD","Crystal Structure of a PreQ1 Riboswitch"
"4TS0","Crystal structure of the Spinach RNA aptamer in complex with DFHBI, barium ions"
"4TS2","Crystal structure of the Spinach RNA aptamer in complex with DFHBI, magnesium ions"
"4XBF","Structure of LSD1:CoREST in complex with ssRNA"
"4XNR","Vibrio Vulnificus Adenine Riboswitch Aptamer Domain, Synthesized by Position-selective Labeling of RNA (PLOR), in Complex with Adenine"
"5BJO","Crystal structure of the Corn RNA aptamer in complex with DFHO, site-specific 5-iodo-U"
"5BJP","Crystal structure of the Corn RNA aptamer in complex with DFHO, iridium hexammine soak"
"5DO4","Thrombin-RNA aptamer complex"
"5E54","Two apo structures of the adenine riboswitch aptamer domain determined using an X-ray free electron laser"
"5ELH","Crystal structure of mouse Unkempt zinc fingers 1-3 (ZnF1-3), bound to RNA"
"5KH8","Solution structures of the apo state fluoride riboswitch"
"5KPY","Structure of a 5-hydroxytryptophan aptamer"
"5LWJ","Solution NMR structure of the GTP binding Class II RNA aptamer-ligand-complex containing a protonated adenine nucleotide with a highly shifted pKa."
"5MSF","MS2 PROTEIN CAPSID/RNA COMPLEX"
"5OB3","iSpinach aptamer"
"5SWD","Structure of the adenine riboswitch aptamer domain in an intermediate-bound state"
"5SWE","Ligand-bound structure of adenine riboswitch aptamer domain converted in crystal from its ligand-free state using ligand mixing serial femtosecond crystallography"
"5UZA","Adenine riboswitch aptamer domain labelled with iodo-uridine by position-selective labelling of RNA (PLOR)"
"5VOE","DesGla-XaS195A Bound to Aptamer 11F7t"
"5VOF","DesGla-XaS195A Bound to Aptamer 11F7t and Rivaroxaban"
"6B14","Crystal structure of Spinach RNA aptamer in complex with Fab BL3-6S97N"
"6B3K","Crystal structure of mutant Spinach RNA aptamer in complex with Fab BL3-6"
"6C63","Crystal Structure of the Mango-II Fluorescent Aptamer Bound to TO1-Biotin"
"6C64","Crystal Structure of the Mango-II Fluorescent Aptamer Bound to TO3-Biotin"
"6C65","Crystal Structure of the Mango-II-A22U Fluorescent Aptamer Bound to TO1-Biotin"
"6CF2","Crystal structure of HIV-1 Rev (residues 1-93)-RNA aptamer complex"
"6DB8","Structural basis for promiscuous binding and activation of fluorogenic dyes by DIR2s RNA aptamer"
"6DB9","Structural basis for promiscuous binding and activation of fluorogenic dyes by DIR2s RNA aptamer"
"6E80","Crystal structure of the Corn aptamer in unliganded state"
"6E81","Crystal structure of the Corn aptamer in complex with ThT"
"6E82","Crystal structure of the Corn aptamer mutant A14U in complex with ThT"
"6E84","Crystal structure of the Corn aptamer in complex with TO"
"6E8S","Structure of the iMango-III aptamer bound to TO1-Biotin"
"6E8T","Structure of the Mango-III (A10U) aptamer bound to TO1-Biotin"
"6E8U","Structure of the Mango-III (A10U) aptamer bound to TO1-Biotin"
"6GZK","Solution NMR structure of the tetramethylrhodamine (TMR) aptamer 3 in complex with 5-TAMRA"
"6GZR","Solution NMR structure of the tetramethylrhodamine (TMR) aptamer 3 in complex with 5-TAMRA"
"6K84","Structure of anti-prion RNA aptamer"
"6MSF","F6 APTAMER MS2 COAT PROTEIN COMPLEX"
"6P2H","Structural basis for 2'-deoxyguanosine recognition by the 2'-dG-II class of riboswitches"
"6PQ7","Structure of the iMango-III fluorescent aptamer at room temperature."
"6Q57","X-ray crystal structure of the tetrahydrofolate riboswitch aptamer bound to 5-deazatetrahydropterin"
"6RTI","X-ray structure of human glutamate carboxypeptidase II (GCPII) in complex with aptamer A9g"
"6SY4","TetR in complex with the TetR-binding RNA-aptamer K1"
"6SY6","TetR in complex with the TetR-binding RNA-aptamer K2"
"6UBU","1.60 A resolution structure of the guanine riboswitch bound to guanine"
"6UC7","Structure of guanine riboswitch bound to N2-acetyl guanine"
"6UC8","Guanine riboswitch bound to 8-aminoguanine"
"6UC9","Guanine riboswitch bound to O6-cyclohexylmethyl guanine"
"6UP0","Structure of the Mango-III fluorescent aptamer bound to YO3-Biotin"
"6V9B","Co-crystal structure of the fluorogenic Mango-IV homodimer bound to TO1-Biotin"
"6V9D","Co-crystal structure of the fluorogenic Mango-IV homodimer bound to TO1-Biotin"
"6VUH","APO PreQ1 riboswitch aptamer grown in Mn2+"
"6VUI","Metabolite-bound PreQ1 riboswitch with Mn2+"
"6VWT","Transitional unit cell 1 of adenine riboswitch aptamer crystal phase transition upon ligand binding"
"6VWV","Transitional unit cell 2 of adenine riboswitch aptamer crystal phase transition upon ligand binding"
"6WJR","Apo structure of the FMN riboswitch aptamer domain in the presence of sulfate"
"6WJS","Apo structure of the FMN riboswitch aptamer domain in the presence of phosphate"
"6WLJ","ATP-TTR-3 with AMP models, 9.6 Angstrom resolution"
"6WLK","Apo ATP-TTR-3 models, 10.0 Angstrom resolution"
"6WLL","Apo F. nucleatum glycine riboswitch models, 10.0 Angstrom resolution"
"6WLM","F. nucleatum glycine riboswitch with glycine models, 7.4 Angstrom resolution"
"6WLQ","Apo SAM-IV riboswitch models, 4.7 Angstrom resolution"
"6WLR","SAM-IV riboswitch with SAM models, 4.8 Angstrom resolution"
"6WLT","Apo V. cholerae glycine riboswitch models, 4.8 Angstrom resolution"
"6WLU","V. cholerae glycine riboswitch with glycine models, 5.7 Angstrom resolution"
"6XKN","Class III PreQ1 riboswitch mutant A52G"
"6XKO","Class III PreQ1 riboswitch mutant A84G"
"7E9E","Crystal structure of a class I PreQ1 riboswitch aptamer (ab13-14) complexed with a cognate ligand-derived photoaffinity probe"
"7E9I","Crystal structure of a class I PreQ1 riboswitch aptamer (wild-type) complexed with a cognate ligand-derived photoaffinity probe"
"7EOG","Crystal structure of the Pepper aptamer in complex with HBC, iridium hexammine soak"
"7EOH","Crystal structure of the Pepper aptamer in complex with HBC"
"7EOI","Crystal structure of the Pepper aptamer in complex with HBC, manganese soak"
"7EOJ","Crystal structure of the Pepper aptamer in complex with HBC, cesium soak"
"7EOK","Crystal structure of the Pepper aptamer in complex with HBC485"
"7EOL","Crystal structure of the Pepper aptamer in complex with HBC497"
"7EOM","Crystal structure of the Pepper aptamer in complex with HBC508"
"7EON","Crystal structure of the Pepper aptamer in complex with HBC514"
"7EOO","Crystal structure of the Pepper aptamer in complex with HBC525"
"7EOP","Crystal structure of the Pepper aptamer in complex with HBC620"
"7KD1","Apo structure of the THF riboswitch aptamer domain"
"7KVT","Crystal structure of Squash RNA aptamer in complex with DFHBI-1T with iridium (III) ions"
"7KVU","Crystal structure of Squash RNA aptamer in complex with DFHBI-1T"
"7KVV","Crystal structure of Squash RNA aptamer in complex with DFHBI-1T"
"7L0Z","Spinach variant bound to DFHBI-1T"
"7MSF","MS2 PROTEIN CAPSID/RNA COMPLEX"
"7OA3","Crystal structure of Chili RNA aptamer in complex with DMHBO+ (Iridium hexammine co-crystallized form)"
"7OAV","Crystal structure of Chili RNA aptamer in complex with DMHBO+ (Iridium III hexammine soaking crystal form)"
"7OAW","Crystal structure of the Chili RNA aptamer in complex with DMHBI+"
"7OAX","Crystal structure of the Chili RNA aptamer in complex with DMHBO+"
"7REX","PreQ1-1 (type-1) riboswitch in complex with tandem stacked metabolites"
"7RWR","An RNA aptamer that decreases flavin redox potential"
"7SHX","A functional SNP regulates E-cadherin expression by dynamically remodeling the 3D structure of a promoter-associated non-coding RNA transcript, NMR, minimized average structure"
"7SZU","Crystal structure of Pepper RNA aptamer in complex with HBC ligand and Fab BL3-6"
"7U0Y","Crystal structure of Pepper RNA aptamer in complex with HBC599 ligand and Fab BL3-6"
"7ZJ4","Ligand bound state of a brocolli-pepper aptamer FRET tile"
"7ZJ5","Unbound state of a brocolli-pepper aptamer FRET tile."
"8D28","Crystal structure of theophylline aptamer in complex with theophylline"
"8D29","Crystal structure of theophylline aptamer - apo form"
"8D2A","Crystal structure of theophylline aptamer in complex with TAL3"
"8D2B","Crystal structure of theophylline aptamer in complex with TAL2"
"8D5L","Crystal structure of theophylline aptamer in complex with TAL1"
"8D5O","Crystal structure of theophylline aptamer in complex with TAL4"
"8DK7","Crystal structure of theophylline aptamer soaked with TAL2"
"8EPK","Complex of anticoagulant RNA aptamer and human coagulation factor IXa (S195A)"
"8EYU","Structure of Beetroot dimer bound to DFAME"
"8EYV","Structure of Beetroot dimer bound to DFHO"
"8EYW","Beetroot dimer bound to ThT"
"8F0N","Wobble Beetroot (A16U-U38G) dimer bound to DFHO"
"8F4O","Apo structure of the TPP riboswitch aptamer domain"
"8FW4","Crystal structure of the adenosylcobalamin riboswitch holo conformation in absence of ligand"
"8HB1","Crystal structure of NAD-II riboswitch (two strands) with NMN"
"8HB3","Crystal structure of NAD-II riboswitch (two strands) with NR"
"8HB8","Crystal structure of NAD-II riboswitch (single strand) with NMN"
"8HBA","Crystal structure of NAD-II riboswitch (single strand) with NAD"
"8HZD","A new fluorescent RNA aptamer bound with N618"
"8HZE","A new fluorescent RNA aptamer bound with N"
"8HZF","A new fluorescent RNA aptamer bound with N565"
"8HZJ","A new fluorescent RNA aptamer bound with N571"
"8HZK","A new fluorescent RNA aptamer bound with N, iridium hexammine soak"
"8HZL","A new fluorescent RNA aptamer_III bound with N"
"8HZM","A new fluorescent RNA aptamer bound with N, manganese soak"
"8I3Z","Crystal structure of NAD-II riboswitch (two strands) with NMN at 1.67 angstrom"
"8TOZ","Class III PreQ1 riboswitch double mutant U8C/A85G"
"8TVZ","RNA origami 3-helix tile Traptamer"
"8U5J","Structure of Mango III variant aptamer bound to T01-07M-B"
"8U5K","Structure of Mango II aptamer bound to T01-6A"
"8U5P","Structure of Mango II aptamer bound to T01-6A-B"
"8U5R","Structure of Mango II variant aptamer bound to T01-6A"
"8U5T","Structure of Mango II variant aptamer bound to T01-6A-B"
"8U5Z","Structure of Mango II variant aptamer bound to T01-7M-B"
"8U60","Structure of Mango II variant2 aptamer bound to T01-6A"
"8VPV","Class III PreQ1 riboswitch mutant delta84"
"9BUN","RhoBAST aptamer RNA in complex with 5(6)-carboxytetramethylrhodamine"
